The Python Standard Library By Example	Doug Hellman	Addison-Wesley Professional	2011
Python Testing Cookbook 	Greg L. Turnquist	Packt Publishing	2011
Violent Python 	TJ O'Connor 	Elsevier/Syngress	2012
